id,x,y
1,0.44,0.10
2,0.40,0.00
3,0.13,0.30
4,0.51,0.13
5,0.43,0.25
6,0.40,0.04
7,0.20,0.33
8,0.57,0.17
9,0.37,0.20
10,0.24,0.20
11,0.00,0.00
12,0.25,0.21
13,0.26,0.22
14,0.48,0.04
15,0.36,0.19
16,0.51,0.06
17,0.00,0.00
18,0.00,0.00
19,0.28,0.25
20,0.18,0.31
21,0.00,0.00
22,0.32,0.15
23,0.33,0.14
24,0.22,0.21
25,0.13,0.07
26,0.23,0.26
27,0.54,0.07
28,0.00,0.00
29,0.17,0.28
30,0.17,0.41
31,0.21,0.28
32,0.34,0.18
33,0.20,0.22
34,0.28,0.08
35,0.36,0.15
36,0.13,0.23
37,0.36,0.13
38,0.36,0.19
39,0.35,0.20
40,0.24,0.32
41,0.46,0.13
42,0.35,0.24
43,0.00,0.00
44,0.38,0.19
45,0.48,0.25
46,0.00,0.00
47,0.00,0.00
48,0.00,0.00
49,0.00,0.00
50,0.22,0.22
51,0.00,0.00
52,0.31,0.20
53,0.35,0.27
54,0.18,0.33
55,0.34,0.26
56,0.46,0.23
57,0.17,0.36
58,0.32,0.25
59,0.56,0.16
60,0.52,0.12
61,0.33,0.25
62,0.33,0.22
63,0.17,0.33
64,0.15,0.50
65,0.42,0.08
66,0.52,0.13
67,0.06,0.19
68,0.00,0.00
69,0.10,0.39
70,0.24,0.15
71,0.34,0.14
72,0.25,0.34
73,0.19,1.00
74,0.00,0.00
75,0.28,0.16
76,0.24,0.09
77,0.21,0.25
78,0.25,0.26
79,0.00,0.00
80,0.11,0.23
81,0.26,0.16
82,0.13,0.30
83,0.50,0.11
84,0.27,0.22
85,0.05,0.38
86,0.28,0.24
87,0.23,0.41
88,0.33,0.21
89,0.36,0.18
90,0.50,0.05
91,0.00,0.00
92,0.22,0.16
93,0.24,0.22
94,0.35,0.19
95,0.44,0.24
96,0.20,0.33
97,0.29,0.21
98,0.52,0.14
99,0.45,0.17
100,0.39,0.19
101,0.00,0.00
102,0.13,0.35
103,0.42,0.16
104,0.25,0.44
105,0.17,0.00
106,0.40,0.17
107,0.53,0.10
108,0.00,0.00
109,0.29,0.11
110,0.25,0.33
111,0.42,0.19
112,0.40,0.18
113,0.11,0.39
114,0.00,0.00
115,0.00,0.00
116,0.37,0.18
117,0.27,0.27
118,0.00,0.00
119,0.13,0.47
120,0.02,0.03
121,0.29,0.20
122,0.34,0.25
123,0.29,0.30
124,0.34,0.17
125,0.29,0.12
126,0.34,0.30
127,0.40,0.14
128,0.16,0.26
129,0.31,0.23
130,0.24,0.24
131,0.32,0.17
132,0.36,0.32
133,0.00,0.00
134,0.14,0.54
135,0.23,0.21
136,0.19,0.36
137,0.19,0.38
138,0.57,0.17
139,0.24,0.31
140,0.32,0.26
141,0.08,0.60
142,0.42,0.14
143,0.32,0.19
144,0.13,0.00
145,0.45,0.19
146,0.50,0.10
147,0.00,0.00
148,0.47,0.06
149,0.21,0.18
150,0.17,0.42
151,0.29,0.09
152,0.09,0.47
153,0.47,0.14
154,0.16,0.29
155,0.18,0.19
156,0.20,0.18
157,0.12,0.41
158,0.26,0.25
159,0.51,0.10
160,0.00,0.25
161,0.13,0.35
162,0.24,0.25
163,0.40,0.12
164,0.00,0.00
165,0.17,0.15
166,0.31,0.31
167,0.24,0.21
168,0.56,0.13
169,0.21,0.30
170,0.33,0.22
171,0.43,0.18
172,0.27,0.24
173,0.30,0.34
174,0.00,0.00
175,0.38,0.19
176,0.00,0.00
177,0.00,0.00
178,0.36,0.13
179,0.33,0.32
180,0.18,0.23
181,0.23,0.28
182,0.25,0.23
183,0.32,0.50
184,0.27,0.35
185,0.26,0.17
186,0.32,0.27
187,0.33,0.26
188,0.57,0.00
189,0.48,0.17
190,0.56,0.17
191,0.45,0.15
192,0.00,0.00
