id,x,y
1,0.13,0.39
2,0.23,0.54
3,0.21,0.83
4,0.16,0.64
5,0.18,0.64
6,0.08,0.78
7,0.00,0.00
8,0.21,0.64
9,0.00,0.00
10,0.10,0.75
11,0.11,0.62
12,0.14,0.93
13,0.16,0.55
14,0.00,0.00
15,0.09,0.19
16,0.20,0.45
17,0.22,0.41
18,0.26,0.43
19,0.11,0.70
20,0.13,0.66
21,0.16,0.50
22,0.13,0.43
23,0.11,0.67
24,0.17,0.80
25,0.32,0.50
26,0.41,0.37
27,0.13,0.64
28,0.00,0.00
29,0.00,0.00
30,0.00,0.00
31,0.19,0.61
32,0.13,0.58
33,0.00,0.00
34,0.14,0.38
35,0.15,0.41
36,0.19,0.69
37,0.15,0.43
38,0.18,0.84
39,0.00,0.00
40,0.22,0.61
41,0.11,0.33
42,0.22,0.67
43,0.29,0.45
44,0.14,0.58
45,0.21,0.42
46,0.22,0.52
47,0.12,0.48
48,0.00,0.33
49,0.10,0.47
50,0.14,0.45
51,0.19,0.43
52,0.17,0.39
53,0.00,0.00
54,0.21,0.45
55,0.15,0.67
56,0.12,0.59
57,0.14,0.49
58,0.11,0.67
59,0.13,0.61
60,0.13,0.92
61,0.14,0.65
62,0.13,0.05
63,0.16,0.70
64,0.15,0.76
65,0.10,0.33
66,0.19,0.66
67,0.13,0.44
68,0.14,0.62
69,0.12,0.66
70,0.21,0.48
71,0.16,0.59
72,0.00,0.00
73,0.21,0.49
74,0.26,0.47
75,0.21,0.45
76,0.25,0.37
77,0.19,0.58
78,0.15,0.43
79,0.12,0.63
80,0.12,0.66
81,0.47,0.38
82,0.09,0.33
83,0.13,0.71
84,0.17,0.71
85,0.23,0.50
86,0.28,0.38
87,0.17,0.39
88,0.20,0.50
89,0.16,0.72
90,0.21,0.74
91,0.16,0.57
92,0.14,0.57
93,0.33,0.29
94,0.24,0.57
95,0.20,0.59
96,0.17,0.43
97,0.14,0.43
98,0.50,0.08
99,0.14,0.56
100,0.18,0.32
101,0.22,0.50
102,0.19,0.64
103,0.00,0.00
104,0.16,0.63
105,0.13,0.64
106,0.18,0.38
107,0.20,0.75
