Object,x,y
1,0.55,0.09
2,0.40,0.28
3,0.25,0.44
4,0.00,0.00
5,0.51,0.13
6,0.03,0.00
7,0.56,0.00
8,0.00,0.00
9,0.00,0.00
10,0.00,0.00
11,0.63,0.14
12,0.57,0.07
13,0.05,0.00
14,0.60,0.00
15,0.30,0.05
16,0.22,0.00
17,0.46,0.12
18,0.45,0.00
19,0.52,0.14
20,0.57,0.09
21,0.51,0.06
22,0.48,0.00
23,0.57,0.00
24,0.00,0.00
25,0.45,0.18
26,0.73,0.00
27,0.42,0.09
28,0.24,0.01
29,0.00,0.00
30,0.00,0.00
31,0.00,0.00
32,0.40,0.00
33,0.51,0.17
34,0.42,0.17
35,0.52,0.11
36,0.43,0.19
37,0.52,0.09
38,0.45,0.05
39,0.00,0.00
40,0.00,0.00
41,0.59,0.12
42,0.00,0.00
43,0.06,0.05
44,0.00,0.00
45,0.53,0.02
46,0.54,0.00
47,0.54,0.10
48,0.00,0.00
49,0.52,0.22
50,0.00,0.00
51,0.00,0.00
52,0.45,0.19
53,0.53,0.20
54,0.49,0.11
55,0.00,0.00
56,0.00,0.00
57,0.00,0.00
58,0.09,1.00
59,0.58,0.02
60,0.56,0.16
61,0.52,0.12
62,0.28,0.08
63,0.34,0.14
64,0.00,0.00
65,0.30,0.10
66,0.38,0.15
67,0.24,0.09
68,0.54,0.08
69,0.29,0.00
70,0.27,0.22
71,0.00,0.00
72,0.00,0.00
73,0.25,0.08
74,0.51,0.14
75,0.17,0.06
76,0.02,0.02
77,0.13,0.59
78,0.00,0.00
79,0.52,0.06
80,0.44,0.08
81,0.00,0.00
82,0.00,0.00
83,0.52,0.07
84,0.48,0.29
85,0.00,0.00
86,0.47,0.11
87,0.47,0.08
88,0.35,0.18
89,0.36,0.11
90,0.00,0.00
91,0.00,0.00
92,0.56,0.00
93,0.00,0.00
94,0.00,0.00
95,0.00,0.00
96,0.45,0.00
97,0.23,0.13
98,0.00,0.00
99,0.43,0.20
100,0.39,0.23
101,0.00,0.00
102,0.00,0.00
103,0.00,0.00
104,0.00,0.00
105,0.47,0.11
106,0.02,0.03
107,0.00,0.00
108,0.44,0.11
109,0.00,0.00
110,0.39,0.05
111,0.52,0.21
112,0.38,0.17
113,0.27,0.15
114,0.31,0.19
115,0.00,0.00
116,0.51,0.02
117,0.59,0.14
118,0.00,0.00
119,0.48,0.04
120,0.58,0.03
121,0.51,0.10
122,0.00,0.00
123,0.00,0.00
124,0.00,0.00
125,0.50,0.10
126,0.25,0.19
127,0.00,0.00
128,0.00,0.00
129,0.00,0.00
130,0.37,0.31
131,0.44,0.22
132,0.00,0.00
133,0.59,0.10
134,0.49,0.18
135,0.50,0.10
136,0.00,0.00
137,0.48,0.02
138,0.00,0.00
139,0.00,0.00
140,0.25,0.07
141,0.52,0.08
142,0.00,0.00
143,0.00,0.00
144,0.00,0.00
145,0.00,0.00
