id,x,y
1,0.14,0.17
2,0.02,0.53
3,0.19,0.40
4,0.15,0.33
5,0.15,0.34
6,0.17,0.41
7,0.21,0.80
8,0.00,0.00
9,0.00,0.00
10,0.12,0.71
11,0.00,0.00
12,0.07,0.36
13,0.00,0.00
14,0.10,0.71
15,0.09,0.64
16,0.09,0.46
17,0.14,0.62
18,0.04,0.57
19,0.15,0.52
20,0.09,0.30
21,0.12,0.54
22,0.06,0.61
23,0.21,0.27
24,0.13,0.67
25,0.14,0.58
26,0.33,0.00
27,0.23,0.39
28,0.00,0.00
29,0.06,0.59
30,0.15,0.58
31,0.09,0.54
32,0.11,0.58
33,0.10,0.69
34,0.08,0.58
35,0.18,0.44
36,0.15,0.40
37,0.13,0.68
38,0.20,0.65
39,0.12,0.47
40,0.20,0.60
41,0.00,0.00
42,0.11,0.59
43,0.14,0.55
44,0.00,0.00
45,0.00,0.00
46,0.15,0.54
47,0.19,0.50
48,0.00,0.00
49,0.00,0.00
50,0.17,0.60
51,0.20,0.65
52,0.07,0.89
53,0.13,0.75
54,0.13,0.73
55,0.00,0.00
56,0.11,0.56
57,0.11,0.78
58,0.12,0.53
59,0.16,0.63
60,0.16,0.63
61,0.11,0.53
62,0.16,0.80
63,0.08,0.40
64,0.13,0.65
65,0.06,0.46
66,0.11,0.82
67,0.14,0.83
68,0.05,0.57
69,0.21,0.60
70,0.16,0.65
71,0.10,0.37
72,0.09,0.46
73,0.08,0.17
74,0.04,0.56
75,0.09,0.18
76,0.00,0.00
77,0.15,0.57
78,0.10,0.63
79,0.05,0.43
80,0.12,0.47
81,0.10,0.73
82,0.20,1.00
83,0.11,0.63
84,0.15,0.64
85,0.08,0.32
86,0.14,0.67
87,0.15,0.56
88,0.00,0.00
89,0.09,0.67
90,0.08,0.48
91,0.09,0.44
92,0.15,0.67
93,0.10,0.38
94,0.12,0.73
95,0.10,0.64
96,0.13,0.71
97,0.13,0.64
98,0.22,0.67
99,0.00,0.00
100,0.10,0.63
101,0.11,0.68
102,0.17,0.33
103,0.08,0.43
104,0.14,0.61
105,0.11,0.71
106,0.11,0.71
107,0.09,0.67
108,0.13,0.71
109,0.09,0.64
110,0.11,0.50
111,0.06,0.60
112,0.13,0.63
113,0.10,0.50
114,0.11,0.58
115,0.00,0.00
116,0.15,0.71
117,0.13,0.50
118,0.14,0.62
119,0.09,0.57
120,0.13,0.57
121,0.14,0.62
122,0.05,0.87
123,0.22,0.40
124,0.00,0.00
125,0.11,0.50
126,0.11,0.74
127,0.21,0.63
128,0.11,0.73
129,0.14,0.25
130,0.07,0.14
131,0.09,0.42
132,0.00,0.00
133,0.00,0.00
134,0.00,0.00
135,0.05,0.21
136,0.20,0.50
137,0.12,1.00
138,0.14,0.43
139,0.12,0.50
140,0.13,0.68
141,0.11,0.48
142,0.09,0.55
143,0.00,0.00
144,0.15,0.61
145,0.15,0.65
146,0.08,0.55
147,0.20,0.39
148,0.17,0.48
149,0.11,0.65
150,0.06,0.45
151,0.00,0.33
152,0.13,0.60
153,0.16,0.51
154,0.15,0.65
155,0.13,0.69
156,0.08,0.70
157,0.13,0.71
158,0.11,0.70
