ID,x,y
1,0.00,0.33
2,0.12,0.17
3,0.00,0.00
4,0.08,0.67
5,0.25,1.00
6,0.29,0.29
7,0.00,0.00
8,0.26,0.49
9,0.00,0.00
10,0.00,0.00
11,0.10,0.67
12,0.11,0.21
13,0.12,0.18
14,0.15,0.68
15,0.38,0.00
16,0.34,0.28
17,0.18,0.39
18,0.26,0.42
19,0.30,0.45
20,0.38,0.18
21,0.16,0.44
22,0.28,0.39
23,0.36,0.31
24,0.00,0.00
25,0.16,0.45
26,0.00,0.00
27,0.09,0.60
28,0.19,0.38
29,0.22,0.22
30,0.50,0.15
31,0.00,0.00
32,0.00,0.00
33,0.04,0.38
34,0.25,0.29
35,0.00,0.00
36,0.27,0.22
37,0.14,0.68
38,0.28,0.40
39,0.11,0.67
40,0.00,0.00
41,0.12,0.70
42,0.47,0.07
43,0.45,0.18
44,0.64,0.00
45,0.00,0.00
46,0.00,0.00
47,0.00,0.00
48,0.20,0.51
49,0.20,0.42
50,0.27,0.68
51,0.29,0.39
52,0.00,0.00
53,0.11,0.26
54,0.26,0.46
55,0.09,0.34
56,0.41,0.21
57,0.58,0.08
58,0.37,0.39
59,0.33,0.48
60,0.26,0.43
61,0.28,0.45
62,0.24,0.58
63,0.23,0.72
64,0.16,0.84
65,0.00,0.00
66,0.03,0.24
67,0.19,0.32
68,0.12,0.34
69,0.09,0.63
70,0.13,0.31
71,0.55,0.06
72,0.17,0.64
73,0.18,0.47
74,0.00,0.00
75,0.32,0.27
76,0.04,0.05
77,0.28,0.31
78,0.19,0.21
79,0.18,0.43
80,0.27,0.39
81,0.30,0.27
82,0.00,0.00
83,0.22,0.61
84,0.23,0.39
85,0.17,0.61
86,0.08,0.39
87,0.27,0.20
88,0.15,0.88
89,0.38,0.21
90,0.39,0.26
91,0.00,0.00
92,0.18,0.64
93,0.12,0.52
94,0.55,0.07
95,0.46,0.20
96,0.13,0.37
97,0.00,0.00
98,0.25,0.41
99,0.22,0.26
100,0.10,0.67
101,0.00,0.00
102,0.17,0.18
103,0.49,0.07
104,0.32,0.22
105,0.00,0.00
106,0.00,0.00
107,0.29,0.35
108,0.34,0.25
109,0.28,0.40
110,0.07,0.08
111,0.21,0.27
112,0.22,0.36
113,0.17,0.18
114,0.24,0.37
115,0.00,0.00
116,0.00,0.00
117,0.16,0.23
118,0.12,0.39
119,0.28,0.45
120,0.03,0.64
121,0.15,0.50
122,0.22,0.45
123,0.29,0.34
124,0.23,0.39
125,0.38,0.32
126,0.49,0.17
127,0.48,0.16
128,0.40,0.36
129,0.25,0.85
130,0.03,0.00
131,0.13,0.53
132,0.39,0.25
133,0.16,0.32
134,0.29,0.43
135,0.29,0.56
136,0.00,0.00
137,0.29,0.40
138,0.00,0.00
139,0.00,0.00
140,0.07,0.50
141,0.22,0.43
142,0.21,0.85
143,0.07,0.20
144,0.13,0.51
145,0.00,0.00
146,0.14,0.39
147,0.25,0.63
148,0.00,0.00
149,0.14,0.29
150,0.01,0.00
151,0.00,0.00
152,0.14,0.11
153,0.13,0.80
154,0.05,0.71
155,0.06,0.22
156,0.00,0.22
157,0.06,0.62
158,0.00,0.00
159,0.30,0.49
