id,x,y
1,0.12,0.37
2,0.14,0.81
3,0.15,0.57
4,0.13,0.64
5,0.00,0.00
6,0.00,0.00
7,0.18,1.00
8,0.15,0.52
9,0.12,0.50
10,0.12,0.54
11,0.17,0.53
12,0.07,0.63
13,0.07,0.50
14,0.16,0.63
15,0.12,0.74
16,0.13,0.44
17,0.12,0.66
18,0.15,0.50
19,0.00,0.00
20,0.16,0.48
21,0.15,0.45
22,0.09,0.71
23,0.12,0.47
24,0.16,0.63
25,0.13,0.61
26,0.06,1.00
27,0.11,0.60
28,0.12,0.59
29,0.14,0.65
30,0.19,0.57
31,0.33,0.50
32,0.15,0.67
33,0.00,0.00
34,0.15,0.67
35,0.14,0.68
36,0.15,0.84
37,0.14,0.63
38,0.14,0.68
39,0.06,0.47
40,0.10,0.53
41,0.09,0.53
42,0.14,0.55
43,0.17,0.60
44,0.13,0.57
45,0.11,0.40
46,0.12,0.75
47,0.20,0.59
48,0.13,0.59
49,0.15,0.43
50,0.12,0.53
51,0.16,0.63
52,0.16,0.63
53,0.14,0.52
54,0.13,0.43
55,0.15,0.59
56,0.11,0.68
57,0.13,0.50
58,0.09,0.18
59,0.12,0.47
60,0.10,0.73
61,0.14,0.65
62,0.15,0.40
63,0.17,0.89
64,0.07,0.74
65,0.12,0.63
66,0.16,0.38
67,0.05,0.40
68,0.12,0.53
69,0.08,0.32
70,0.12,0.39
71,0.15,0.63
72,0.10,0.53
73,0.00,0.00
74,0.14,0.60
75,0.00,0.00
76,0.11,0.50
77,0.16,0.77
78,0.11,0.31
79,0.09,0.55
80,0.00,0.00
81,0.08,0.50
82,0.09,0.64
83,0.17,0.33
84,0.09,0.34
85,0.14,0.62
86,0.11,0.50
87,0.13,0.63
88,0.10,0.50
89,0.11,0.58
90,0.00,0.00
91,0.00,0.00
92,0.24,0.60
93,0.11,0.79
94,0.15,0.61
95,0.06,0.42
96,0.14,0.62
97,0.12,0.67
98,0.12,0.62
99,0.04,0.44
100,0.10,0.49
101,0.19,0.58
102,0.17,0.70
103,0.11,0.50
104,0.12,0.55
105,0.12,0.47
106,0.12,0.67
107,0.09,0.44
108,0.04,0.68
109,0.06,0.56
110,0.10,0.61
111,0.00,0.00
112,0.10,0.68
113,0.11,1.00
114,0.17,0.61
115,0.12,0.63
116,0.13,0.56
117,0.16,0.68
118,0.13,0.65
119,0.13,0.59
120,0.08,0.45
121,0.00,0.00
122,0.07,0.60
123,0.09,0.39
124,0.18,0.70
125,0.00,0.00
126,0.15,0.50
127,0.11,0.61
128,0.00,0.00
129,0.00,1.00
130,0.09,0.53
131,0.17,0.75
132,0.13,0.46
133,0.00,0.00
134,0.05,0.67
135,0.13,0.72
136,0.10,0.74
137,0.15,0.43
138,0.12,0.72
139,0.16,0.66
140,0.13,0.58
141,0.15,0.48
142,0.16,0.55
143,0.13,0.52
144,0.11,0.61
145,0.16,0.48
146,0.00,0.00
147,0.13,0.69
148,0.16,0.67
149,0.18,0.49
150,0.24,0.29
151,0.00,0.33
152,0.16,0.57
153,0.33,1.00
154,0.14,0.51
155,0.13,0.46
156,0.00,0.00
157,0.15,0.50
158,0.14,0.87
159,0.18,0.79
160,0.00,0.00
161,0.15,0.54
162,0.08,0.42
163,0.13,0.90
164,0.13,0.57
165,0.07,0.48
166,0.00,0.00
167,0.08,0.34
168,0.00,0.00
169,0.29,0.83
170,0.16,0.59
171,0.12,0.70
172,0.00,0.00
173,0.14,1.00
174,0.10,0.61
175,0.11,0.78
176,0.12,0.57
177,0.00,1.00
178,0.07,0.50
179,0.15,0.46
180,0.12,0.52
181,0.13,0.60
182,0.12,0.50
183,0.10,0.50
184,0.11,0.54
185,0.04,0.62
186,0.17,0.80
187,0.08,0.53
188,0.14,0.61
189,0.13,0.67
190,0.12,0.55
191,0.00,0.00
192,0.15,0.88
193,0.14,0.50
194,0.15,0.77
195,0.14,0.69
196,0.20,0.29
197,0.13,0.63
198,0.07,0.32
199,0.23,0.61
200,0.17,0.65
201,0.12,0.52
202,0.00,0.00
203,0.16,0.63
204,0.13,0.55
205,0.12,0.92
206,0.13,0.47
207,0.11,0.46
208,0.13,0.55
209,0.13,0.61
210,0.12,0.69
211,0.06,0.60
212,0.00,0.00
213,0.13,0.50
214,0.12,0.56
215,0.18,0.34
216,0.14,0.41
217,0.13,0.46
218,0.21,0.73
219,0.16,0.50
220,0.09,0.55
221,0.14,0.65
222,0.12,0.51
223,0.11,0.64
224,0.13,0.54
225,0.11,0.60
226,0.23,0.75
227,0.09,0.58
228,0.29,1.00
229,0.14,0.51
230,0.11,0.75
231,0.14,0.71
232,0.11,0.36
233,0.00,0.00
234,0.17,1.00
235,0.00,0.00
236,0.15,0.52
237,0.00,0.00
238,0.17,0.50
239,0.08,0.60
240,0.16,0.72
241,0.17,0.62
242,0.25,0.75
243,0.03,0.50
244,0.19,0.74
245,0.16,0.72
246,0.17,0.56
247,0.11,0.54
248,0.00,0.00
249,0.16,0.82
250,0.00,0.00
