id,x,y
1,0.19,0.50
2,0.00,0.28
3,0.32,0.13
4,0.11,0.28
5,0.40,0.58
6,0.51,0.33
7,0.10,0.48
8,0.13,0.00
9,0.08,0.38
10,0.16,0.66
11,0.00,0.13
12,0.17,0.24
13,0.17,0.56
14,0.49,0.00
15,0.24,0.00
16,0.05,0.93
17,0.00,0.76
18,0.00,0.39
19,0.19,0.63
20,0.19,0.79
21,0.26,0.45
22,0.16,0.59
23,0.13,0.41
24,0.21,0.51
25,0.24,0.40
26,0.14,0.58
27,0.16,0.78
28,0.16,0.00
29,0.11,0.00
30,0.12,0.00
31,0.00,0.65
32,0.00,0.30
33,0.00,0.63
34,0.12,0.00
35,0.13,0.42
36,0.17,0.28
37,0.00,0.18
38,0.14,0.75
39,0.26,0.56
40,0.55,0.51
41,0.19,0.58
42,0.18,0.60
43,0.14,0.57
44,0.22,0.20
45,0.11,0.65
46,0.13,0.00
47,0.07,0.41
48,0.19,0.54
49,0.00,0.50
50,0.23,0.75
51,0.17,0.56
52,0.44,0.00
53,0.13,0.80
54,0.19,0.74
55,0.00,0.50
56,0.14,0.63
57,0.16,0.61
58,0.10,0.65
59,0.18,0.54
60,0.16,0.63
61,0.16,0.78
62,0.28,0.68
63,0.12,0.45
64,0.14,0.64
65,0.18,0.59
66,0.16,0.57
67,0.13,0.67
68,0.12,0.80
69,0.12,0.48
70,0.08,0.53
71,0.18,0.18
72,0.12,0.56
73,0.16,0.46
74,0.11,0.57
75,0.16,0.51
76,0.18,0.59
77,0.18,0.66
78,0.14,0.40
79,0.14,0.53
80,0.12,0.59
81,0.15,0.60
82,0.15,0.66
83,0.13,0.82
84,0.16,0.50
85,0.19,0.30
86,0.15,0.00
87,0.14,0.54
88,0.16,0.00
89,0.00,0.00
90,0.18,0.00
91,0.00,0.43
92,0.00,0.50
93,0.00,0.71
94,0.11,0.58
95,0.21,1.00
96,0.10,0.00
97,0.12,0.55
98,0.20,0.53
99,0.61,0.55
100,0.17,0.83
101,0.12,0.56
102,0.32,0.61
103,0.10,0.78
104,0.19,0.75
105,0.12,0.76
106,0.16,0.64
107,0.24,0.49
108,0.11,0.00
109,0.13,0.75
110,0.17,0.00
111,0.00,0.29
112,0.14,0.00
113,0.00,0.56
114,0.19,0.72
115,0.00,1.00
116,0.21,0.58
117,0.14,0.75
118,0.00,0.66
119,0.17,0.59
120,0.17,0.52
121,0.14,0.46
122,0.11,0.50
123,0.13,0.00
124,0.23,0.62
125,0.22,0.35
126,0.00,0.53
127,0.14,0.71
128,0.22,0.25
129,0.16,0.86
130,0.12,0.74
131,0.20,0.00
132,0.15,0.58
133,0.15,0.00
134,0.00,0.33
135,0.12,0.24
136,0.00,0.47
137,0.33,0.04
138,0.20,0.48
139,0.10,0.68
140,0.01,0.79
141,0.14,1.00
142,0.21,0.63
143,0.18,0.00
144,0.17,0.50
145,0.19,0.61
146,0.00,0.44
147,0.19,0.57
148,0.06,0.36
149,0.11,0.61
150,0.13,0.60
151,0.12,0.65
152,0.15,0.79
153,0.27,0.71
154,0.13,0.43
155,0.13,0.68
156,0.19,0.73
157,0.13,0.65
158,0.15,0.00
159,0.11,0.47
160,0.18,0.50
161,0.00,0.51
