id,x,y
1,0.29,0.23
2,0.48,0.13
3,0.27,0.30
4,0.30,0.29
5,0.36,0.26
6,0.00,0.00
7,0.13,0.58
8,0.42,0.15
9,0.23,0.32
10,0.22,0.20
11,0.54,0.29
12,0.60,0.67
13,0.13,0.49
14,0.25,0.37
15,0.29,0.33
16,0.00,0.00
17,0.18,0.31
18,0.35,0.30
19,0.13,0.71
20,0.31,0.31
21,0.33,0.36
22,0.39,0.24
23,0.23,0.27
24,0.24,0.29
25,0.34,0.07
26,0.00,0.00
27,0.00,0.00
28,0.00,0.00
29,0.34,0.34
30,0.38,0.42
31,0.32,0.23
32,0.29,0.31
33,0.39,0.31
34,0.28,0.41
35,0.33,0.34
36,0.32,0.32
37,0.39,0.23
38,0.00,0.00
39,0.31,0.26
40,0.40,0.22
41,0.25,0.26
42,0.14,0.60
43,0.00,0.00
44,0.13,0.67
45,0.12,0.65
46,0.36,0.30
47,0.32,0.20
48,0.34,0.30
49,0.30,0.37
50,0.45,0.29
51,0.38,0.50
52,0.21,0.33
53,0.34,0.24
54,0.23,0.39
55,0.28,0.34
56,0.30,0.36
57,0.33,0.31
58,0.12,0.33
59,0.29,0.41
60,0.26,0.39
61,0.33,0.29
62,0.32,0.16
63,0.27,0.42
64,0.13,0.41
65,0.00,0.00
66,0.35,0.38
67,0.00,0.00
68,0.00,0.00
69,0.41,0.46
70,0.28,0.23
71,0.33,0.35
72,0.26,0.45
73,0.15,0.74
74,0.26,0.53
75,0.14,0.50
76,0.42,0.24
77,0.28,0.42
78,0.32,0.32
79,0.22,0.32
80,0.34,0.34
81,0.28,0.44
82,0.24,0.47
83,0.00,0.00
84,0.00,0.33
85,0.12,0.46
86,0.28,0.28
87,0.25,0.42
88,0.38,0.17
89,0.25,0.37
90,0.25,0.34
91,0.26,0.21
92,0.29,0.33
93,0.28,0.44
94,0.36,0.30
95,0.26,0.21
96,0.25,0.31
97,0.19,0.56
98,0.16,0.52
99,0.00,0.00
100,0.39,0.22
101,0.47,0.22
102,0.26,0.24
103,0.23,0.23
104,0.19,0.39
105,0.00,0.00
106,0.35,0.23
107,0.24,0.26
108,0.00,0.00
109,0.27,0.28
110,0.23,0.30
111,0.35,0.29
112,0.22,0.28
113,0.00,0.00
114,0.00,0.00
115,0.00,0.00
116,0.00,0.00
117,0.11,0.73
118,0.00,0.00
119,0.11,0.38
120,0.00,0.00
121,0.00,0.00
122,0.17,0.38
123,0.13,0.51
124,0.14,0.36
125,0.36,0.25
126,0.32,0.30
127,0.00,0.00
128,0.45,0.38
129,0.00,1.00
130,0.33,0.41
131,0.10,0.11
132,0.30,0.39
133,0.18,0.37
134,0.36,0.16
135,0.30,0.38
136,0.00,0.00
137,0.20,0.24
138,0.10,0.06
139,0.15,0.74
140,0.00,0.00
141,0.25,0.42
142,0.16,0.42
143,0.22,0.10
144,0.24,0.23
145,0.29,0.32
146,0.29,0.36
147,0.28,0.38
148,0.00,0.25
149,0.34,0.25
150,0.32,0.29
151,0.19,0.71
152,0.00,0.00
153,0.46,0.24
154,0.25,0.42
155,0.39,0.28
156,0.43,0.15
157,0.36,0.20
158,0.17,0.69
159,0.34,0.29
160,0.07,0.04
161,0.32,0.37
162,0.00,0.00
163,0.11,0.55
164,0.00,0.00
165,0.01,0.00
166,0.10,0.22
167,0.31,0.20
168,0.23,0.33
169,0.36,0.32
170,0.00,0.00
171,0.17,0.19
172,0.40,0.31
173,0.19,0.16
174,0.00,0.00
175,0.29,0.35
176,0.00,0.00
177,0.58,0.00
178,0.33,0.00
179,0.48,0.11
180,0.12,0.50
181,0.56,0.44
182,0.00,0.00
183,0.25,0.50
184,0.34,0.28
185,0.48,0.15
186,0.41,0.28
187,0.35,0.53
188,0.33,0.36
189,0.11,0.55
190,0.13,0.50
191,0.45,0.16
192,0.15,0.77
193,0.28,0.30
194,0.28,0.35
195,0.00,0.00
196,0.37,0.27
197,0.23,0.17
198,0.26,0.27
199,0.12,0.80
200,0.38,0.35
201,0.35,0.24
202,0.35,0.23
203,0.42,0.31
204,0.31,0.27
205,0.40,0.19
206,0.00,0.00
207,0.43,0.34
208,0.08,0.57
209,0.31,0.23
210,0.13,0.95
211,0.32,0.33
212,0.22,0.34
213,0.00,0.00
214,0.00,0.00
215,0.00,0.00
216,0.17,0.60
217,0.00,0.00
218,0.44,0.17
219,0.00,0.00
220,0.00,0.00
221,0.17,0.73
222,0.27,0.27
223,0.00,0.00
224,0.51,0.23
225,0.36,0.33
226,0.30,0.49
227,0.38,0.26
228,0.59,0.20
229,0.24,0.34
230,0.01,0.00
231,0.09,0.46
232,0.29,0.28
233,0.30,0.35
234,0.24,0.49
235,0.00,0.00
236,0.36,0.17
237,0.33,0.29
238,0.17,0.31
239,0.32,0.41
240,0.32,0.27
241,0.23,0.36
242,0.32,0.28
243,0.00,0.00
244,0.00,0.00
245,0.00,0.00
246,0.35,0.17
247,0.16,0.59
248,0.16,0.60
249,0.25,0.22
250,0.36,0.26
251,0.20,0.55
252,0.40,0.29
253,0.26,0.36
254,0.00,0.00
255,0.29,0.33
256,0.38,0.29
257,0.00,0.00
258,0.26,0.25
259,0.00,0.00
260,0.28,0.30
261,0.14,0.73
262,0.25,0.34
263,0.25,0.33
264,0.20,0.14
265,0.00,0.00
266,0.11,0.60
267,0.00,0.00
268,0.18,0.28
269,0.33,0.21
270,0.25,0.34
271,0.31,0.31
272,0.34,0.40
273,0.44,0.17
274,0.16,0.73
275,0.37,0.26
276,0.08,0.83
277,0.33,0.17
278,0.27,0.36
279,0.45,0.42
280,0.40,0.22
281,0.25,0.46
282,0.15,0.71
283,0.14,0.69
284,0.23,0.42
285,0.24,0.28
286,0.30,0.24
287,0.32,0.26
288,0.35,0.27
289,0.37,0.21
290,0.37,0.29
291,0.10,0.19
292,0.32,0.18
293,0.42,0.24
294,0.25,0.33
295,0.37,0.29
296,0.29,0.32
297,0.33,0.43
298,0.34,0.29
299,0.18,0.41
300,0.32,0.33
301,0.10,0.78
302,0.50,0.33
303,0.33,0.35
304,0.00,0.00
305,0.23,0.38
306,0.35,0.13
307,0.27,0.33
308,0.40,0.25
309,0.29,0.31
310,0.38,0.30
311,0.33,0.22
312,0.00,0.00
313,0.18,0.60
314,0.15,0.07
315,0.32,0.36
316,0.24,0.57
317,0.17,1.00
318,0.29,0.39
319,0.13,0.65
320,0.12,0.81
321,0.00,0.00
322,0.00,0.00
323,0.27,0.21
324,0.12,0.71
325,0.00,0.00
