id,x,y
1,0,0
2,0.36619699,0.224719003
3,0.50999999,0.130435005
4,0.416667014,0.127660006
5,0,0
6,0.152941003,0.578947008
7,0.148148,0.305555999
8,0.213792995,0.253012002
9,0.201704994,0.224999994
10,0.310184985,0.214286
11,0.227424994,0.273885012
12,0.258426994,0.27659601
13,0.313252985,0.21875
14,0.233333007,0.340425998
15,0.136000007,0.540000021
16,0.228070006,0.204818994
17,0.433333009,0.142857
18,0.361110985,0.050000001
19,0.122449003,0.5
20,0.135592997,0.368420988
21,0.166089997,0.52671802
22,0.333332986,0.323529005
23,0.102766998,0.302816987
24,0.152778,0.65625
25,0.125,0.722221971
26,0.263157994,0.177419007
27,0.189393997,0.430555999
28,0.386667013,0.285714
29,0.200000003,0.125
30,0.072784796,0.039999999
31,0.0512821,0.130584002
32,0,0
33,0.119480997,0.559747994
34,0,0
35,0.393938988,0.200000003
36,0.142857,0.75
37,0.383720994,0.190476
38,0.081632704,0.53125
39,0,0.5
40,0.222222,0.5
41,0.237762004,0.305555999
42,0.288888991,0.291667014
43,0.183672994,0.458332986
44,0.318181992,0.162790999
45,0.145455003,0.444444001
46,0,0.75
47,0.42245999,0.247190997
48,0.474575996,0.09375
49,0.370370001,0.25
50,0,0
51,0.222222,0.268292993
52,0.33168301,0.256637007
53,0,0
54,0.296875,0.206349
55,0.194444001,0.352941006
56,0.216215998,0.394737005
57,0.370370001,0.224490002
58,0.303797007,0.264367998
59,0.278324991,0.163497999
60,0.352113008,0.324999988
61,0.303191006,0.289999992
62,0.27659601,0.365384996
63,0.224719003,0.349999994
64,0.253968,0.120879002
65,0.257669002,0.382716
66,0.488000005,0.204347998
67,0.269910991,0.224638
68,0.105881996,0.486485988
69,0.243697003,0.243589997
70,0.202531993,0.238095
71,0,0
72,0.217647001,0.28421101
73,0.209726006,0.343023002
74,0.244541004,0.304688007
75,0.228955999,0.340135992
76,0.121211998,0.617646992
77,0.264934987,0.163865998
78,0.158537,0.274509996
79,0,0
80,0,0
81,0.125,1
82,0.328283012,0.153845996
83,0.252746999,0.177419007
84,0.278912008,0.148515001
85,0,0
86,0.431818008,0.238095
87,0.089552201,0.42424199
88,0.362069011,0.231884003
89,0,0
90,0.195313007,0.326389015
91,0.289561987,0.213792995
92,0,0
93,0.085365899,0.208333001
94,0.126637995,0.694267988
95,0,0
96,0.268420994,0.267241001
97,0.449999988,0.157142997
98,0.200000003,0.75
99,0.095238097,0.800000012
100,0.392637998,0.345238
101,0.053846199,0.272727013
102,0.099547498,0.602837026
103,0,0
104,0.196346998,0.136053994
105,0.172414005,0.32051301
106,0.267327011,0.288136005
107,0.305555999,0.333332986
108,0.292993993,0.543478012
109,0.173913002,0.423729002
110,0.200000003,0.296875
111,0.218578994,0.216215998
112,0.085365899,0.769231021
113,0.119497001,0.308988988
114,0.193717003,0.305555999
115,0.318181992,0.115385003
116,0.186666995,0.368420988
117,0.236842006,0.397058994
118,0.360655993,0.090909101
119,0.459459007,0.087719299
120,0.177083001,0.478260994
121,0.202428997,0.310344994
122,0.263157994,0.211538002
123,0.226190001,0.28125
124,0.413385987,0.163398996
125,0.235293999,0.282050997
126,0.140425995,0.390976995
127,0.227273002,0.533333004
128,0.206349,0.393258005
129,0.109677002,0.38043499
130,0.335294008,0.310000002
131,0.083333299,1
132,0.242037997,0.306818008
133,0.0103093,0
134,0.209301993,0.574999988
135,0.138889,0.551020026
136,0,0
137,0.038461499,0
138,0.305000007,0.209676996
139,0.201438993,0.106195003
140,0.209184006,0.309278011
141,0.278481007,0.239999995
142,0.162602007,0.283582002
143,0.321429014,0.3125
144,0.198238,0.529411972
145,0.091703102,0.269230992
146,0.200000003,0
147,0.34482801,0.533333004
148,0.195122004,0.444444001
149,0.346666992,0.222222
150,0.45333299,0.083333299
151,0.0810811,0.875
152,0,0
153,0,0
154,0.064516097,0.767441988
155,0.251428992,0.184873998
156,0.26593399,0.349557996
157,0.225165993,0.265895993
158,0.289063007,0.273972988
159,0,0.027397299
160,0.285714,0.315789014
161,0.382353008,0.304347992
162,0.283504993,0.31132099
163,0.166666999,0.241758004
164,0.241895005,0.342857003
165,0.154412001,0.421052992
166,0.352941006,0.108695999
167,0.297872007,0.223528996
168,0.152173996,0.225805998
169,0.296703011,0.265486985
170,0.112902999,0.458332986
