Total_Stu,x,y
2,0.09,0.88
53,0.26,0.37
0,0.00,0.61
2,0.05,0.65
4,0.10,0.60
0,0.00,0.00
6,0.21,0.43
20,0.16,0.51
5,0.12,0.56
4,0.06,0.64
794,0.60,0.00
0,0.00,0.75
0,0.00,0.00
101,0.30,0.39
27,0.26,0.47
4,0.17,0.07
0,0.00,0.00
27,0.33,0.50
0,0.00,0.00
43,0.38,0.21
42,0.30,0.59
24,0.33,0.42
18,0.33,0.38
0,0.00,0.00
25,0.16,0.36
56,0.45,0.15
0,0.00,0.00
55,0.42,0.27
1,0.01,0.03
19,0.45,0.41
0,0.00,0.00
19,0.50,0.00
20,0.23,0.42
24,0.36,0.30
85,0.55,0.15
106,0.46,0.15
69,0.51,0.15
48,0.53,0.05
22,0.26,0.30
31,0.19,0.43
41,0.29,0.30
50,0.16,0.45
230,0.48,0.18
83,0.49,0.22
22,0.15,0.15
14,0.61,0.33
111,0.58,0.08
114,0.47,0.21
0,0.00,0.00
8,0.33,0.07
187,0.48,0.12
14,0.40,0.08
0,0.00,0.00
0,0.00,0.00
9,0.29,0.40
0,0.00,0.00
21,0.43,0.20
86,0.34,0.15
0,0.00,0.00
76,0.49,0.21
9,0.27,0.12
31,0.30,0.49
57,0.35,0.39
13,0.31,0.29
48,0.36,0.26
44,0.56,0.07
68,0.42,0.13
24,0.22,0.40
235,0.34,0.42
17,0.11,0.88
5,0.22,0.80
0,0.00,0.00
34,0.35,0.42
78,0.44,0.35
41,0.55,0.11
230,0.52,0.11
120,0.50,0.15
0,0.00,0.00
0,0.00,0.00
0,0.00,0.00
0,0.00,0.00
0,0.00,0.00
0,0.00,0.00
84,0.32,0.33
30,0.23,0.40
0,0.00,0.00
0,0.00,0.00
12,0.22,0.25
14,0.30,0.20
31,0.29,0.37
24,0.29,0.28
23,0.32,0.39
168,0.55,0.08
37,0.54,0.20
71,0.38,0.39
24,0.35,0.33
27,0.44,0.29
42,0.34,0.42
21,0.49,0.29
67,0.51,0.17
0,0.00,0.00
177,0.46,0.16
60,0.38,0.18
0,0.00,0.00
0,0.00,0.00
171,0.57,0.10
179,0.54,0.12
178,0.58,0.11
22,0.51,0.14
0,0.00,0.00
0,0.00,0.00
0,0.00,0.00
36,0.23,0.40
35,0.35,0.35
0,0.00,0.00
63,0.38,0.36
0,0.00,0.00
59,0.23,0.50
85,0.36,0.22
19,0.32,0.31
0,0.00,0.00
91,0.35,0.42
49,0.39,0.23
189,0.54,0.18
10,0.24,0.28
20,0.49,0.27
39,0.36,0.27
0,0.00,0.00
0,0.00,0.00
65,0.49,0.12
0,0.00,0.00
84,0.33,0.34
38,0.22,0.41
0,0.00,0.00
4,0.12,0.50
342,0.58,0.14
0,0.00,0.00
53,0.33,0.38
49,0.40,0.12
21,0.39,0.35
91,0.41,0.23
0,0.00,0.00
71,0.17,0.12
297,0.47,0.18
28,0.35,0.38
70,0.60,0.00
73,0.36,0.25
0,0.00,0.00
32,0.29,0.32
24,0.25,0.32
73,0.34,0.34
0,0.00,0.00
