LU,OWN_OCC,TOT_UT,R
Exempt,N,0,NR
Industrial,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Industrial,N,0,NR
Exempt,N,0,NR
Commercial Land,N,50,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Commercial,N,0,NR
Exempt,N,0,NR
Commercial,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Commercial,N,0,NR
Commercial,N,0,NR
Commercial,N,0,NR
Commercial,N,0,NR
Commercial,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Industrial,N,0,NR
Commercial,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Industrial,N,0,NR
Residential Two Family,N,5004,R
Apartments 4-6 Units,N,1814,R
Residential Single Family,Y,1592,R
Residential Land,N,22,R
Residential Two Family,Y,5004,R
Mixed Use Res/Comm,Y,0,NR
Residential Two Family,Y,5004,R
Residential Land,N,22,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Two Family,N,5004,R
Residential Two Family,N,5004,R
Residential Single Family,Y,1592,R
Residential Two Family,Y,5004,R
Residential Two Family,N,5004,R
Residential Two Family,N,5004,R
Residential Two Family,Y,5004,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,Y,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Condo Unit,N,7922,R
Condominium Master,N,22527,R
Residential Condo Unit,N,7922,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,Y,1592,R
Residential Single Family,N,1592,R
Residential Single Family,Y,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Two Family,Y,5004,R
Residential Single Family,N,1592,R
Residential Three Family,N,2727,R
Residential Single Family,Y,1592,R
Residential Land,N,22,R
Residential Two Family,N,5004,R
Residential Two Family,Y,5004,R
Residential Two Family,Y,5004,R
Residential Two Family,Y,5004,R
Residential Two Family,N,5004,R
Commercial,N,0,NR
Commercial,N,0,NR
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Two Family,N,5004,R
Residential Single Family,N,1592,R
Residential Two Family,N,5004,R
Mixed Use Res/Comm,N,0,NR
Mixed Use Res/Comm,N,0,NR
Exempt,N,0,NR
Mixed Use Res/Comm,N,0,NR
Mixed Use Res/Comm,N,0,NR
Mixed Use Res/Comm,N,0,NR
Apartments 7 Units above,N,10549,R
Exempt,N,0,NR
Commercial,N,0,NR
Commercial,N,0,NR
Commercial Land,N,50,NR
Mixed Use Res/Comm,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Exempt,N,0,NR
Residential Single Family,N,1592,R
Residential Single Family,Y,1592,R
Residential Three Family,N,2727,R
Residential Single Family,N,1592,R
Residential Single Family,N,1592,R
Residential Single Family,Y,1592,R
Residential Two Family,N,5004,R
Residential Single Family,Y,1592,R
