id,x,y
1,0.23,0.27
2,0.24,0.55
3,0.18,0.38
4,0.17,0.14
5,0.17,0.26
6,0.18,0.44
7,0.26,0.37
8,0.16,0.70
9,0.17,0.39
10,0.24,0.39
11,0.00,0.00
12,0.45,0.23
13,0.29,0.35
14,0.23,0.43
15,0.31,0.31
16,0.08,0.78
17,0.00,0.00
18,0.10,0.59
19,0.18,0.47
20,0.25,0.38
21,0.19,0.49
22,0.28,0.28
23,0.30,0.32
24,0.23,0.31
25,0.29,0.39
26,0.13,0.28
27,0.12,0.44
28,0.20,0.37
29,0.22,0.19
30,0.20,0.50
31,0.13,0.58
32,0.00,0.00
33,0.38,0.05
34,0.00,0.00
35,0.14,0.57
36,0.12,0.55
37,0.00,0.00
38,0.17,0.86
39,0.00,0.00
40,0.17,0.74
41,0.12,0.61
42,0.25,0.25
43,0.26,0.33
44,0.36,0.18
45,0.43,0.29
46,0.13,0.51
47,0.14,0.46
48,0.16,0.65
49,0.00,0.00
50,0.20,0.30
51,0.12,0.33
52,0.16,0.37
53,0.38,0.40
54,0.21,0.27
55,0.51,0.17
56,0.21,0.00
57,0.11,0.44
58,0.13,0.65
59,0.11,0.60
60,0.13,0.68
61,0.14,0.86
62,0.00,0.00
63,0.26,0.29
64,0.23,0.40
65,0.00,0.00
66,0.33,0.14
67,0.19,0.42
68,0.00,0.50
69,0.33,0.27
70,0.32,0.22
71,0.14,0.58
72,0.33,0.32
73,0.30,0.35
74,0.29,0.43
75,0.27,0.06
76,0.14,0.47
77,0.27,0.39
78,0.40,0.44
79,0.30,0.42
80,0.34,0.45
81,0.21,0.39
82,0.00,0.00
83,0.24,0.35
84,0.00,0.00
85,0.16,0.64
86,0.20,0.00
87,0.00,0.00
88,0.31,0.33
89,0.47,0.38
90,0.00,0.00
91,0.00,0.00
92,0.00,0.00
93,0.17,0.45
94,0.26,0.33
95,0.09,0.81
96,0.00,0.00
97,0.00,1.00
98,0.20,0.47
99,0.23,0.48
100,0.23,0.34
101,0.00,0.00
102,0.25,0.32
103,0.10,0.63
104,0.16,0.68
105,0.00,0.00
106,0.00,0.00
107,0.00,0.00
108,0.21,0.29
109,0.00,0.00
110,0.20,0.50
111,0.00,0.00
112,0.35,0.21
113,0.07,0.13
114,0.17,0.64
115,0.38,0.32
116,0.15,0.20
117,0.27,0.57
118,0.13,0.95
119,0.34,0.40
120,0.30,0.32
121,0.23,0.17
122,0.00,0.00
123,0.29,0.21
124,0.28,0.39
125,0.17,0.55
126,0.25,0.42
127,0.36,0.27
128,0.15,0.54
129,0.37,0.26
130,0.20,0.31
131,0.23,0.42
132,0.29,0.42
133,0.33,0.24
134,0.00,0.00
135,0.39,0.35
136,0.00,0.00
137,0.26,0.24
138,0.23,0.33
139,0.10,0.27
140,0.13,0.57
141,0.10,0.21
142,0.25,0.41
143,0.25,0.42
144,0.00,0.00
145,0.13,0.59
146,0.23,0.38
147,0.07,0.08
148,0.11,0.75
149,0.20,0.37
150,0.28,0.25
151,0.08,0.50
152,0.33,0.21
153,0.24,0.51
154,0.17,0.50
155,0.13,0.63
156,0.33,0.39
157,0.20,0.57
158,0.14,0.65
159,0.10,0.52
160,0.14,0.86
161,0.09,0.67
162,0.17,0.28
163,0.18,0.53
164,0.32,0.38
165,0.00,0.00
166,0.25,0.31
167,0.11,0.44
168,0.32,0.30
169,0.19,0.58
170,0.33,0.50
171,0.25,0.20
172,0.13,0.33
173,0.48,0.10
174,0.00,0.00
175,0.23,0.33
176,0.21,0.40
177,0.33,0.50
178,0.18,0.38
179,0.14,0.39
180,0.22,0.29
181,0.42,0.31
182,0.21,0.56
183,0.40,1.00
184,0.00,0.00
185,0.26,0.31
