id,x,y
1,0.40,0.08
2,0.00,0.00
3,0.00,0.00
4,0.29,0.67
5,0.35,0.14
6,0.41,0.16
7,0.51,0.11
8,0.38,0.13
9,0.51,0.09
10,0.58,0.00
11,0.45,0.07
12,0.33,0.14
13,0.06,0.40
14,0.00,0.00
15,0.00,0.00
16,0.00,0.00
17,0.20,0.67
18,0.02,0.00
19,0.41,0.17
20,0.39,0.20
21,0.00,0.00
22,0.00,0.00
23,0.42,0.14
24,0.48,0.14
25,0.35,0.16
26,0.00,0.00
27,0.43,0.19
28,0.31,0.00
29,0.00,0.00
30,0.00,0.00
31,0.30,0.38
32,0.36,0.00
33,0.20,0.34
34,0.25,0.40
35,0.00,0.00
36,0.20,0.21
37,0.36,0.15
38,0.23,0.16
39,0.00,0.00
40,0.00,0.00
41,0.00,0.00
42,0.36,0.12
43,0.00,0.00
44,0.02,0.45
45,0.00,0.00
46,0.20,0.25
47,0.17,0.27
48,0.26,0.22
49,0.26,0.14
50,0.14,0.13
51,0.42,0.17
52,0.43,0.10
53,0.44,0.17
54,0.39,0.19
55,0.13,0.61
56,0.32,0.15
57,0.43,0.11
58,0.28,0.31
59,0.22,0.44
60,0.37,0.11
61,0.23,0.12
62,0.00,0.02
63,0.20,0.24
64,0.50,0.08
65,0.42,0.13
66,0.08,0.34
67,0.17,0.41
68,1.00,0.00
69,0.44,0.11
70,0.47,0.11
71,0.20,0.38
72,0.13,0.17
73,0.50,0.00
74,0.10,0.55
75,0.00,0.00
76,0.29,0.28
77,0.48,0.15
78,0.26,0.34
79,0.00,0.00
80,0.51,0.08
81,0.41,0.09
82,0.28,0.36
83,0.00,0.00
84,0.45,0.06
85,0.28,0.09
86,0.00,0.01
87,0.40,0.09
88,0.44,0.00
89,0.47,0.10
90,0.00,0.00
91,0.22,0.28
92,0.00,0.00
93,0.21,0.33
94,0.13,0.72
95,0.17,0.33
96,0.31,0.18
97,0.00,0.00
98,0.09,0.38
99,0.00,0.25
100,0.37,0.19
101,0.00,0.00
102,0.30,0.16
103,0.27,0.16
104,0.08,0.31
105,0.41,0.15
106,0.05,0.04
107,0.38,0.21
108,0.34,0.12
109,0.46,0.16
110,0.11,0.24
111,0.00,0.00
112,0.39,0.10
113,0.33,0.33
114,0.08,0.54
115,0.00,0.00
116,0.30,0.19
117,0.40,0.10
118,0.35,0.09
119,0.43,0.14
120,1.00,0.00
121,0.30,0.24
122,0.49,0.08
123,0.47,0.18
124,0.26,0.29
125,0.00,0.00
126,0.45,0.04
127,0.37,0.31
128,0.43,0.13
129,0.36,0.24
130,0.41,0.70
131,0.46,0.11
132,0.35,0.12
133,0.10,0.20
134,0.05,0.28
135,0.14,0.35
136,0.18,0.29
137,0.46,0.13
138,0.49,0.13
139,0.38,0.08
140,0.49,0.14
