id,x,y
1,0.00,0.00
2,0.21,0.62
3,0.00,0.00
4,0.22,0.68
5,0.19,0.60
6,0.00,0.00
7,0.20,0.49
8,0.24,0.59
9,0.24,0.43
10,0.22,0.60
11,0.11,0.43
12,0.14,0.60
13,0.23,0.38
14,0.16,0.50
15,0.00,0.00
16,0.24,0.44
17,0.00,0.00
18,0.23,0.53
19,0.15,0.62
20,0.00,0.00
21,0.00,0.00
22,0.27,0.51
23,0.22,0.52
24,0.00,0.00
25,0.21,0.59
26,0.22,0.60
27,0.27,0.66
28,0.23,0.62
29,0.40,0.33
30,0.13,0.46
31,0.20,0.75
32,0.15,0.50
33,0.00,0.00
34,0.15,0.51
35,0.14,0.52
36,0.00,0.00
37,0.18,0.68
38,0.19,0.58
39,0.17,0.69
40,0.21,0.61
41,0.21,0.68
42,0.19,0.66
43,0.31,0.25
44,0.23,0.62
45,0.28,0.46
46,0.14,0.58
47,0.20,0.79
48,0.23,0.51
49,0.23,0.41
50,0.03,0.00
51,0.22,0.71
52,0.14,0.49
53,0.06,0.33
54,0.00,0.00
55,0.25,0.57
56,0.00,0.00
57,0.18,0.67
58,0.11,0.53
59,0.06,0.25
60,0.00,0.00
61,0.19,0.33
62,0.17,0.66
63,0.22,0.62
64,0.21,0.59
65,0.00,0.00
66,0.19,0.79
67,0.08,0.00
68,0.10,0.57
69,0.24,0.44
70,0.09,0.50
71,0.06,0.50
72,0.00,0.00
73,0.14,0.41
74,0.00,0.00
75,0.22,0.51
76,0.26,0.57
77,0.18,0.63
78,0.17,0.55
79,0.07,0.33
80,0.19,0.62
81,0.16,0.53
82,0.17,0.54
83,0.22,0.45
84,0.18,0.69
85,0.26,0.60
86,0.18,0.33
87,0.25,0.49
88,0.00,0.00
89,0.00,0.00
90,0.24,0.54
91,0.00,0.00
92,0.00,0.00
93,0.00,0.00
94,0.09,0.23
95,0.17,0.61
96,0.25,0.72
97,0.33,1.00
98,0.00,0.00
99,0.27,0.57
100,0.20,0.73
101,0.00,0.00
102,0.23,0.56
103,0.19,0.70
104,0.24,0.45
105,0.32,0.21
106,0.00,0.00
107,0.00,0.00
108,0.16,0.60
109,0.24,0.62
110,0.07,0.33
111,0.22,0.58
112,0.00,0.00
113,0.14,0.49
114,0.18,0.67
115,0.22,0.35
116,0.17,0.50
117,0.25,0.69
118,0.15,0.52
119,0.00,0.00
120,1.00,1.00
121,0.00,0.00
122,0.23,0.68
123,0.22,0.52
124,0.15,0.57
125,0.09,0.53
126,0.25,0.00
127,0.00,0.00
128,0.23,0.47
129,0.21,0.52
130,0.00,0.00
131,0.00,0.00
132,0.00,0.00
133,0.00,0.00
134,0.21,0.50
135,0.00,0.00
136,0.18,0.46
137,0.00,0.00
138,0.00,0.00
139,0.00,0.00
140,0.00,0.00
141,0.00,0.00
142,0.13,0.51
143,0.26,0.28
144,0.21,0.21
145,0.25,0.44
146,0.25,0.00
147,0.19,0.56
148,0.19,0.70
149,0.40,0.50
150,0.30,0.56
151,0.39,0.50
152,0.00,0.00
153,0.00,0.00
154,0.00,0.00
155,0.27,0.68
156,0.00,0.00
157,0.20,0.52
158,0.24,0.71
159,0.23,0.64
160,0.25,0.66
161,0.18,0.67
162,0.21,0.59
163,0.16,0.66
164,0.00,0.00
165,0.23,0.64
166,0.30,0.75
167,0.18,0.49
168,0.00,0.00
169,0.36,0.78
170,0.00,0.00
171,0.16,0.63
172,0.13,0.36
173,0.23,0.35
174,0.22,0.60
175,0.27,0.46
176,0.20,0.56
177,0.00,0.00
178,0.33,0.50
179,0.00,0.00
180,0.18,0.47
181,0.15,0.47
182,0.18,0.46
183,0.13,0.53
184,0.00,0.00
185,0.00,0.00
186,0.15,0.59
187,0.00,0.00
188,0.20,0.63
189,0.24,0.58
190,0.00,0.00
191,0.25,0.58
192,0.17,0.42
193,0.13,0.31
194,0.15,0.50
195,0.15,0.47
196,0.16,0.57
197,0.18,0.44
198,0.17,0.25
199,0.19,0.62
200,0.21,0.61
201,0.22,0.59
202,0.18,0.56
203,0.27,0.62
204,0.29,0.65
205,0.24,0.48
206,0.15,0.63
207,0.12,0.58
208,0.18,0.67
209,0.14,0.78
210,0.14,0.41
211,0.20,0.41
212,0.19,0.52
213,0.19,0.57
214,0.19,0.65
215,0.09,0.39
216,0.00,0.00
217,0.18,0.58
218,0.19,0.72
219,0.21,0.48
220,0.15,0.55
221,0.20,0.85
222,0.10,0.38
223,0.00,0.00
224,0.11,0.48
225,0.00,0.00
226,0.00,0.00
227,0.08,0.40
228,0.14,0.31
229,0.23,0.36
230,0.14,0.55
231,0.21,0.30
232,0.26,0.53
233,0.25,0.57
234,0.45,0.50
235,0.19,0.38
236,0.16,0.64
237,0.00,0.00
238,0.17,0.61
239,0.00,0.00
240,0.18,0.62
241,0.20,0.43
242,0.20,0.56
243,0.23,0.57
244,0.19,0.68
245,0.00,0.00
246,0.14,0.15
247,0.28,0.71
248,0.00,0.00
249,0.00,0.00
250,0.20,0.44
251,0.11,0.57
252,0.17,0.35
253,0.15,0.44
254,0.25,0.24
255,0.23,0.77
256,0.11,0.19
257,0.27,0.51
258,0.21,0.67
259,0.17,0.88
260,0.00,0.00
261,0.00,0.00
262,0.33,0.86
263,0.19,0.77
264,0.00,0.00
265,0.00,0.00
266,0.00,0.00
267,0.00,0.00
268,0.23,0.61
269,0.23,0.52
270,0.00,0.00
271,0.26,0.59
272,0.18,0.69
273,0.24,0.53
274,0.22,0.59
275,0.00,0.00
276,0.18,0.43
277,0.38,0.50
278,0.21,0.58
279,0.17,0.22
280,0.00,0.00
281,0.19,0.50
