id,x,y
1,0.14,0.50
2,0.00,0.78
3,0.00,0.44
4,0.00,0.00
5,0.00,0.00
6,0.00,1.00
7,0.11,0.63
8,0.05,0.65
9,0.05,0.78
10,0.05,0.44
11,0.00,0.00
12,0.07,0.64
13,0.09,0.75
14,0.05,0.64
15,0.10,0.52
16,0.17,0.57
17,0.10,0.75
18,0.14,0.70
19,0.07,0.63
20,0.13,0.64
21,0.00,0.00
22,0.17,0.63
23,0.15,0.58
24,0.05,0.61
25,0.14,0.58
26,0.00,0.00
27,0.13,0.39
28,0.14,0.71
29,0.00,0.00
30,0.10,0.56
31,0.00,0.00
32,0.13,0.76
33,0.19,0.50
34,0.09,0.50
35,0.12,0.70
36,0.21,0.47
37,0.11,0.48
38,0.00,0.00
39,0.12,0.49
40,0.16,0.53
41,0.05,0.55
42,0.06,0.50
43,0.19,0.67
44,0.05,0.17
45,0.10,0.51
46,0.00,0.00
47,0.00,0.00
48,0.15,0.46
49,0.21,0.33
50,0.09,0.38
51,0.10,0.42
52,0.13,0.67
53,0.07,0.41
54,0.10,0.55
55,0.07,0.29
56,0.00,0.00
57,0.00,0.00
58,0.29,0.24
59,0.00,0.00
60,0.00,0.40
61,0.05,0.47
62,0.07,0.67
63,0.16,0.56
64,0.00,0.00
65,0.19,0.37
66,0.19,0.45
67,0.06,0.00
68,0.27,0.56
69,0.00,0.00
70,0.12,0.65
71,0.00,0.00
72,0.06,0.53
73,0.11,0.18
74,0.14,0.73
75,0.12,0.48
76,0.11,0.54
77,0.05,0.53
78,0.11,0.50
79,0.20,0.76
80,0.00,0.00
81,0.12,0.50
82,0.00,0.00
83,0.08,0.53
84,0.00,0.00
85,0.00,0.00
86,0.04,0.39
87,0.13,0.47
88,0.13,0.40
89,0.07,0.55
90,0.16,0.63
91,0.14,0.50
92,0.11,0.73
93,0.16,1.00
94,0.09,0.61
95,0.07,0.42
96,0.11,0.51
97,0.05,0.70
98,0.15,0.57
99,0.10,0.20
100,0.14,0.24
101,0.14,0.85
102,0.00,0.00
103,0.06,0.43
104,0.12,0.83
105,0.00,0.00
106,0.15,0.47
107,0.08,0.57
108,0.08,0.42
109,0.08,0.73
110,0.10,0.31
111,0.06,0.53
112,0.05,0.50
113,0.14,0.23
114,0.09,0.40
115,0.13,0.75
116,0.00,0.00
117,0.19,0.39
118,0.07,0.48
119,0.00,0.00
120,0.00,0.00
121,0.00,0.00
122,0.12,0.56
123,0.14,0.77
124,0.05,0.25
125,0.18,0.37
126,0.14,0.63
127,0.10,0.46
128,0.10,0.50
129,0.11,0.00
130,0.14,0.65
131,0.00,0.13
132,0.04,0.79
133,0.19,0.63
134,0.06,0.74
135,0.00,0.00
136,0.22,0.31
137,0.07,0.48
138,0.16,0.35
139,0.13,0.51
140,0.19,0.43
141,0.07,0.55
142,0.05,0.42
143,0.06,0.75
144,0.00,0.00
145,0.08,0.36
146,0.09,0.56
147,0.16,0.56
148,0.03,0.57
149,0.15,0.53
150,0.00,0.00
151,0.10,0.53
152,0.07,0.80
153,0.11,0.46
154,0.14,0.57
155,0.00,0.33
156,0.05,0.55
157,0.09,0.63
158,0.07,0.09
159,0.18,0.43
160,0.10,0.71
161,0.12,0.26
162,0.08,0.55
163,0.00,0.00
164,0.00,0.00
165,0.10,0.50
166,0.00,0.20
167,0.04,0.44
168,0.00,0.00
169,0.01,0.42
170,0.15,0.55
171,0.26,0.15
172,0.19,0.60
173,0.26,0.30
174,0.00,1.00
175,0.00,0.00
176,0.00,0.00
177,0.05,0.43
178,0.14,0.52
179,0.09,0.75
180,0.10,0.63
181,0.04,0.27
182,0.14,0.67
183,0.11,0.47
184,0.16,0.65
185,0.06,0.60
186,0.04,0.41
187,0.06,0.64
188,0.20,0.55
189,0.08,0.67
190,0.16,0.80
191,0.04,0.63
192,0.24,0.35
193,0.11,0.48
194,0.13,0.52
195,0.14,0.52
196,0.18,0.42
197,0.13,0.32
198,0.09,0.47
199,0.04,0.82
200,0.75,0.00
201,0.00,0.00
202,0.13,0.46
203,0.16,0.60
204,0.00,0.00
205,0.18,0.30
206,0.00,0.00
207,0.07,0.56
208,0.08,0.58
209,0.15,0.44
210,0.08,0.70
211,0.18,0.73
212,0.22,0.33
213,0.30,0.50
214,0.09,0.38
215,0.08,0.33
216,0.05,0.75
217,0.08,0.55
218,0.00,0.00
219,0.08,0.45
220,0.11,1.00
221,0.10,0.73
222,0.07,0.69
223,0.00,0.00
224,0.00,0.00
225,0.00,0.14
226,0.14,0.50
227,0.00,0.50
228,0.08,0.40
229,0.06,0.63
230,0.16,0.60
231,0.18,0.63
232,0.00,0.00
233,0.10,0.45
234,0.09,0.20
235,0.07,0.47
236,0.10,0.39
237,0.09,0.41
238,0.00,0.00
239,0.00,0.00
240,0.17,0.57
241,0.12,0.53
242,0.14,0.90
243,0.05,0.24
244,0.09,0.66
245,0.19,0.20
246,0.00,0.57
247,0.11,0.52
248,0.04,0.77
249,0.15,0.50
250,0.11,0.71
251,0.00,0.00
252,0.00,0.00
253,0.08,0.63
254,0.00,0.04
255,0.14,0.73
256,0.00,0.38
257,0.10,0.62
258,0.00,0.00
259,0.11,0.53
260,0.16,0.31
261,0.08,0.58
262,0.14,0.60
263,0.13,0.31
264,0.00,0.00
265,0.00,0.00
266,0.00,0.00
267,0.19,0.40
268,0.11,0.54
269,0.05,0.57
270,0.07,0.25
271,0.17,0.17
272,0.21,0.22
273,0.07,0.36
274,0.00,0.00
275,0.00,0.00
276,0.03,0.47
277,0.18,0.63
278,0.13,1.00
279,0.00,0.00
280,0.00,0.22
281,0.00,0.00
282,0.17,0.47
283,0.13,0.59
284,0.07,0.46
285,0.19,0.45
286,0.03,0.70
